staff_id,first_name,last_name,position,hourly_rate
1,Delmar,Standring,Assistant Media Planner,16.94
2,Rowe,Van de Vlies,Accounting Assistant IV,19.28
3,Marilee,Diss,Web Designer III,17.46
4,Marguerite,Cuseick,Recruiter,16.79
5,Ashleigh,Sodeau,Geological Engineer,24.32
6,Fiona,Nacci,Sales Representative,23.99
7,Sadye,Benedicto,Sales Associate,26.25
8,Etta,Imlaw,Assistant Manager,20.29
9,Ashly,Varrow,Research Nurse,24.27
10,Franni,Pykett,Financial Advisor,20.75
11,Anderea,Breckon,Account Representative III,20.53
12,Gisele,Ginie,Paralegal,23.73
13,Elana,Witterick,Human Resources Assistant II,20.1
14,Shani,Trevett,Desktop Support Technician,26.38
15,Tyler,Bernardeau,Research Associate,25.11
16,Gipsy,Took,Environmental Tech,24.8
